Size,Salt,# base pair,# hairpin,# multi loop
50,0.001,4.066,0.577,0.000
50,0.002,5.314,0.727,0.000
50,0.005,7.096,0.940,0.001
50,0.01,8.232,1.065,0.003
50,0.05,10.021,1.261,0.006
50,0.1,10.505,1.310,0.010
50,0.5,11.374,1.386,0.018
50,1.021,11.653,1.401,0.020
50,5.0,12.068,1.424,0.024
100,0.001,11.250,1.303,0.012
100,0.002,14.749,1.574,0.029
100,0.005,19.211,1.876,0.066
100,0.01,21.578,2.018,0.104
100,0.05,24.565,2.174,0.227
100,0.1,25.220,2.232,0.298
100,0.5,26.514,2.294,0.343
100,1.021,26.951,2.309,0.344
100,5.0,27.670,2.323,0.353
200,0.001,26.806,2.728,0.076
200,0.002,34.999,3.206,0.167
200,0.005,45.207,3.669,0.424
200,0.01,49.967,3.837,0.621
200,0.05,54.305,4.037,1.036
200,0.1,54.841,4.103,1.159
200,0.5,57.097,4.187,1.206
200,1.021,57.963,4.210,1.218
200,5.0,59.286,4.224,1.218
500,0.001,75.199,7.021,0.344
500,0.002,100.803,8.051,0.875
500,0.005,131.221,8.972,2.123
500,0.01,141.282,9.218,2.769
500,0.05,144.780,9.487,3.404
500,0.1,144.897,9.570,3.628
500,0.5,150.015,9.729,3.742
500,1.021,152.018,9.767,3.756
500,5.0,155.064,9.725,3.773
1000,0.001,156.135,14.177,0.803
1000,0.002,213.883,16.174,2.288
1000,0.005,280.502,17.776,5.455
1000,0.01,295.372,18.155,6.539
1000,0.05,295.983,18.476,7.400
1000,0.1,295.529,18.631,7.797
1000,0.5,305.279,18.832,7.975
1000,1.021,309.288,18.890,7.990
1000,5.0,315.272,18.855,7.992
